time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2026-04-10 18:12:46,39.8654086289906,-76.1560374463698,0,Available with any HD 360 subscription,Available with any HD 360 subscription,658.57641575948,0.328084,0,0,0,26,5,0,658.57641575948,0,0,0,0,0,0,300.5, -2.8, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0,75.2,658.57641575948,0,6,P-GPS,"Flying over vegetation."
100,2026-04-10 18:12:46,39.8654086300212,-76.1560374480347,0,,,658.57641575948,0.328084,0,0.00059898623964,0.00059898623964,26,5,0,658.57641575948,0,0,0.00059898623964,0,0,0,300.5, -2.8, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0,75.2,658.57641575948,0,41,Motors_Started,"Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). Remote ID functionality normal (Code: 1B080003)"
200,2026-04-10 18:12:47,39.8654086271547,-76.156037243406,0,,,658.57641575948,0.328084,0,0.05684219342,0.057913059596,26,5,0,658.57641575948,0,0,0.05684219342,0,0,0,300.5, -2.8, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0,75.2,658.57641575948,0,41,Motors_Started,
300,2026-04-10 18:12:47,39.8654086294974,-76.1560371365664,0,,,658.57641575948,0.328084,0,0.086757876792,0.087844491,26,5,0,658.57641575948,0,0,0.086757876792,0,0,0,300.5, -2.8, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0,75.2,658.57641575948,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 14. Setting new Maximum Flight Altitude to 120m (394 ft)"
400,2026-04-10 18:12:47,39.865408636579,-76.1560371293146,0,,,658.57641575948,0.328084,0,0.088831695756,0.091130908428,26,5,0,658.57641575948,0,0,0.088831695756,0,0,0,300.5, -2.8, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0,75.2,658.57641575948,0,41,Motors_Started,
500,2026-04-10 18:12:47,39.8654084324259,-76.156037330254,0,,,658.57641575948,0.328084,0,0.078744097008,0.184482289368,26,5,0,658.57641575948,0,0,0.088831695756,0,0,0,300.5, -2.8, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0,75.2,658.57641575948,0,41,Motors_Started,
600,2026-04-10 18:12:47,39.8654084296087,-76.1560373278994,0,,,658.57641575948,0.328084,0,0.079952758464,0.185703418016,26,5,0,658.57641575948,0,0,0.088831695756,0,0,0,300.5, -2.8, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0,75.2,658.57641575948,0,41,Motors_Started,
700,2026-04-10 18:12:47,39.865408320909,-76.1560372354156,0,,,658.57641575948,0.328084,0,0.126982287528,0.233070217432,26,5,0,658.57641575948,0,0,0.126982287528,0,0,0,300.5, -2.8, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0,75.2,658.57641575948,0,41,Motors_Started,
800,2026-04-10 18:12:47,39.8654083178492,-76.1560372336838,0,,,658.57641575948,0.328084,0,0.128195870244,0.234287409072,26,5,0,658.57641575948,0,0,0.128195870244,0,0,0,300.5, -2.8, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0,75.2,658.57641575948,0,41,Motors_Started,
900,2026-04-10 18:12:47,39.8654082154817,-76.1560371398639,0,,,658.57641575948,0.328084,0,0.173576449124,0.279951780612,25,5,8.293,658.57641575948,0,0,0.173576449124,0,0,0,300.5, -2.8, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0.68,75.2,658.57641575948,0,41,Motors_Started,
1000,2026-04-10 18:12:47,39.8654082031136,-76.1560371491916,0,,,658.57641575948,0.328084,0,0.176264441336,0.28516569154,25,5,8.293,658.57641575948,0,0,0.176264441336,0,0,0,300.4, -2.8, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0.68,75.2,658.57641575948,0,41,Motors_Started,
1100,2026-04-10 18:12:48,39.8654081819783,-76.1560371678873,0,,,658.57641575948,0.328084,0,0.180778877176,0.294486229896,25,5,8.293,658.57641575948,0,0,0.180778877176,0,0,0,300.1, -2.9, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0.68,75.2,658.57641575948,0,41,Motors_Started,
1200,2026-04-10 18:12:48,39.8654079723004,-76.1560371895212,0,,,658.57641575948,0.328084,0,0.250156832152,0.371227046,26,5,8.293,658.57641575948,0,0,0.250156832152,0,0,0,300, -2.9, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,302,0,0,99,4.145,4.148,0,0,0,0,0.68,75.2,658.57641575948,0,41,Motors_Started,
