time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
1800,2026-04-08 12:15:22,39.8653780416924,-76.156481906861,0,Available with any HD 360 subscription,Available with any HD 360 subscription,658.38277730184,0.656168,0,0,0,29,5,0,658.38277730184,0,0,0,0,0,0,255.7, -15.1, 4.8,0,0,1024,1024,1024,1024,0,0,0,0,285,-4.4,0,29,3.559,3.554,0,0,0,0,0,65.48,658.38277730184,0,6,P-GPS,"Flying over vegetation. Propeller rotation not smooth or collision detected. Check if propeller is installed properly or replace propellers (Code: 1612000A). Account not logged in. Flight altitude and distance restricted to 30 m and 50 m. Check and log in (Code: 3000003). A"
1900,2026-04-08 12:15:22,39.8653780214461,-76.1564818868383,0,,,658.38277730184,0.656168,0,0.009273950428,0.009273950428,29,5,0,658.38277730184,0,0,0.009273950428,0,0,0,256, -15.4, 4.6,0,0,1024,1024,1024,1024,0,0,0,0,285.2,-4.4,0,29,3.559,3.554,0,0,0,0,0,65.48,658.38277730184,0,41,Motors_Started,
2000,2026-04-08 12:15:22,39.8653780454962,-76.1564819277253,0,,,658.38277730184,0.656168,0,0.006005413578,0.0236995742492,29,5,0,658.38277730184,0,0,0.009273950428,0,0,0,256.1, -15, 4.8,0,0,1024,1024,1024,1024,0,0,0,0,285.4,-4.4,0,29,3.559,3.554,0,0,0,0,0,65.48,658.38277730184,0,41,Motors_Started,
2100,2026-04-08 12:15:22,39.8653780425475,-76.1564819283634,0,,,658.38277730184,0.328084,0,0.0060296261772,0.0247901582736,29,5,0,658.38277730184,0,0,0.009273950428,0,0,0,256.3, -15.4, 4.2,0,0,1024,1024,1024,1024,0,0,0,0,285.7,-4.4,0,29,3.559,3.554,0,0,0,0,0,65.48,658.38277730184,0,41,Motors_Started,
2200,2026-04-08 12:15:23,39.8653779584482,-76.1564821039666,0,,,658.38277730184,0.328084,0.3131716,0.063001642436,0.082753611572,30,5,0,658.38277730184,0,0.3131716,0.063001642436,-0.223694,-0.223694,0,256.4, -16.4, 3,0,0,1024,1024,1024,1024,0,0,0,0,285.8,-4.4,0,29,3.559,3.554,0,0,0,0,0,65.48,658.38277730184,0,41,Motors_Started,
2300,2026-04-08 12:15:23,39.8653779139895,-76.1564822072204,0,,,658.38277730184,0.328084,0.3131716,0.096155186804,0.115908140192,30,5,7.115,658.38277730184,0,0.3131716,0.096155186804,-0.223694,-0.223694,0,255.5, -17.7, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,285.9,-4.4,0,29,3.559,3.554,0,0,0,0,0.736,65.48,658.38277730184,0,41,Motors_Started,
2400,2026-04-08 12:15:23,39.8653777701679,-76.156482250147,0,,,658.38277730184,0.328084,0,0.138042655336,0.169740490996,30,5,7.115,658.38277730184,0,0.3131716,0.138042655336,0,0,0,255, -18.2, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,286,-4.4,0,29,3.559,3.554,0,0,0,0,0.736,65.48,658.38277730184,0,41,Motors_Started,
2500,2026-04-08 12:15:23,39.8653778801834,-76.1564821441615,0,,,658.38277730184,0.328084,0,0.088816931976,0.219661096268,30,5,7.115,658.38277730184,0,0.3131716,0.138042655336,0,0,0,255.3, -18.1, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,286,-4.4,0,29,3.559,3.554,0,0,0,0,0.736,65.48,658.38277730184,0,41,Motors_Started,
2600,2026-04-08 12:15:23,39.8653779979811,-76.1564819407136,0,,,658.38277730184,0.328084,0,0.018552986158,0.291027568368,31,5,7.115,658.38277730184,0,0.3131716,0.138042655336,0,0,0,254.8, -17.7, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,286,-4.4,0,29,3.559,3.554,0,0,0,0,0.736,65.48,658.38277730184,0,41,Motors_Started,
2700,2026-04-08 12:15:23,39.8653780586937,-76.1564819025211,0,,,658.38277730184,0.328084,0,0.006320866344,0.315625338184,31,5,7.115,658.38277730184,0,0.3131716,0.138042655336,0,0,0,254.7, -18.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,286,-4.4,0,29,3.559,3.554,0,0,0,0,0.736,65.48,658.38277730184,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 10. Setting new Maximum Flight Altitude to 30m (98 ft)"
