time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
1700,2026-03-30 12:31:59,39.8649784369348,-76.1545938884726,0,Available with any HD 360 subscription,Available with any HD 360 subscription,654.18115347973,0.328084,0,0,0,28,5,0,654.18115347973,0,0,0,0,0,0,227.9, -12, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,291.6,0,0,90,4.079,4.079,0,0,0,0,0,82.58,654.18115347973,0,6,P-GPS,"Flying over urban terrain. Propeller rotation not smooth or collision detected. Check if propeller is installed properly or replace propellers (Code: 1612000A). Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). Remote ID functionality norma"
1800,2026-03-30 12:31:59,39.8649784358247,-76.154593887854,0,,,654.18115347973,0.328084,0,0.0004405183868,0.0004405183868,28,5,0,654.18115347973,0,0,0.0004405183868,0,0,0,228, -12, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,291.6,0,0,90,4.079,4.079,0,0,0,0,0,82.58,654.18115347973,0,41,Motors_Started,
1900,2026-03-30 12:31:59,39.8649784458287,-76.1545939750807,0,,,654.18115347973,0.328084,0,0.0244700795232,0.0251389115656,28,5,0,654.18115347973,0,0,0.0244700795232,0,0,0,227.9, -12, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,291.6,0,0,90,4.079,4.079,0,0,0,0,0,82.58,654.18115347973,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 25. Setting new Maximum Flight Altitude to 120m (394 ft)"
2000,2026-03-30 12:31:59,39.8649784462667,-76.1545939733308,0,,,654.18115347973,0.328084,0,0.0240065952564,0.025654364338,28,5,0,654.18115347973,0,0,0.0244700795232,0,0,0,228, -12, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,291.6,0,0,90,4.079,4.079,0,0,0,0,0,82.58,654.18115347973,0,41,Motors_Started,
2100,2026-03-30 12:31:59,39.86497844684,-76.1545939784076,0,,,654.18115347973,0.328084,0,0.0254436359848,0.0270914050664,28,5,0,654.18115347973,0,0,0.0254436359848,0,0,0,227.9, -12, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,291.6,0,0,90,4.079,4.079,0,0,0,0,0,82.58,654.18115347973,0,41,Motors_Started,
2200,2026-03-30 12:31:59,39.8649784466468,-76.1545939801965,0,,,654.18115347973,0.328084,0,0.0259298892812,0.0275973105944,28,5,0,654.18115347973,0,0,0.0259298892812,0,0,0,228, -12, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,291.6,0,0,90,4.079,4.079,0,0,0,0,0,82.58,654.18115347973,0,41,Motors_Started,
2300,2026-03-30 12:31:59,39.8649783460272,-76.1545940874633,0,,,654.18115347973,0.328084,0,0.064849411524,0.075032154632,28,5,0,654.18115347973,0,0,0.064849411524,0,0,0,227.9, -12, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,291.6,0,0,90,4.079,4.079,0,0,0,0,0,82.58,654.18115347973,0,41,Motors_Started,
2400,2026-03-30 12:31:59,39.8649783447367,-76.154594090885,0,,,654.18115347973,0.328084,0,0.06591371602,0.076099739968,28,5,0,654.18115347973,0,0,0.06591371602,0,0,0,227.9, -12, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,291.6,0,0,90,4.079,4.079,0,0,0,0,0,82.58,654.18115347973,0,41,Motors_Started,
2500,2026-03-30 12:31:59,39.8649783439271,-76.1545939912478,0,,,654.18115347973,0.328084,0,0.044495736332,0.104003940336,28,5,0,654.18115347973,0,0,0.06591371602,0,0,0,227.9, -12, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,291.6,0,0,90,4.079,4.079,0,0,0,0,0,82.58,654.18115347973,0,41,Motors_Started,
2600,2026-03-30 12:31:59,39.8649783443093,-76.1545939926187,0,,,654.18115347973,0.328084,0,0.044639437124,0.104412404916,28,5,0,654.18115347973,0,0,0.06591371602,0,0,0,227.8, -12, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,291.6,0,0,90,4.079,4.079,0,0,0,0,0,82.58,654.18115347973,0,41,Motors_Started,
